LinkId,FromEntity,ToEntity,LinkType,Label,Strength,RelationshipType
cluster_link_cluster_Binance_com_1NDyJtNTjmwk5xPNhjgA_BTC,cluster_Binance_com,addr_1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s_BTC,Controls,Controls BTC Address,0.9,ClusterMembership
cluster_link_cluster_Binance_com_0xBE0eB53F46cd790Cd1_ETH,cluster_Binance_com,addr_0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8_ETH,Controls,Controls ETH Address,0.9,ClusterMembership
